,Label
0,0
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,0
346,1
347,1
348,1
349,0
350,0
351,1
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,0
370,1
371,0
372,1
373,0
374,0
375,0
376,0
377,1
378,1
379,1
380,1
381,1
382,1
383,0
384,0
385,1
386,1
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,0
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,0
506,1
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,0
521,1
522,1
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,0
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,1
556,1
557,0
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,0
596,1
597,0
598,1
599,1
600,0
601,0
602,1
603,1
604,0
605,1
606,1
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,0
634,1
635,0
636,0
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,1
663,0
664,0
665,0
666,0
667,1
668,0
669,1
670,1
671,1
672,0
673,1
674,0
675,0
676,1
677,0
678,1
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,1
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,1
697,0
698,0
699,1
700,1
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,1
760,1
761,0
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,0
776,1
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,1
804,0
805,1
806,0
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,1
816,1
817,1
818,0
819,1
820,0
821,0
822,1
823,0
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,1
837,1
838,1
839,0
840,0
841,1
842,0
843,1
844,1
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,1
853,0
854,1
855,1
856,0
857,0
858,0
859,1
860,1
861,1
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,1
870,0
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,0
887,1
888,1
889,0
890,1
891,0
892,0
893,1
894,0
895,0
896,0
897,1
898,0
899,1
900,1
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,1
913,1
914,0
915,1
916,1
917,1
918,1
919,1
920,0
921,1
922,0
923,0
924,1
925,1
926,1
927,0
928,1
929,0
930,0
931,0
932,1
933,0
934,0
935,1
936,1
937,0
938,0
939,1
940,0
941,1
942,0
943,1
944,1
945,1
946,1
947,0
948,0
949,1
950,0
951,1
952,1
953,0
954,0
955,1
956,0
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,0
970,1
971,0
972,0
973,1
974,1
975,0
976,1
977,0
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,0
993,1
994,1
995,0
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,1
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,0
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,0
1023,0
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,1
1046,1
1047,0
1048,0
1049,1
1050,1
1051,1
1052,1
1053,1
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
